Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,32648,1450,1212,3664,4780,5665,8,7977,"10,053%","115,40963","20,99","52,17"
TOTAL,32648,1450,1212,3664,4780,5665,8,7977,"10,053%","115,40963","20,99","52,17"
