Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,31697,94,77,169,189,248,0,1436,"12,405%","90,51501","15,01","40,94"
TOTAL,31697,94,77,169,189,248,0,1436,"12,405%","90,51501","15,01","40,94"
