Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,64408,694,1018,1274,1314,1492,23,2085,"0,000%","152,47817","11,14","68,97"
TOTAL,64408,694,1018,1274,1314,1492,23,2085,"0,000%","152,47817","11,14","68,97"
