Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,58507,1396,1430,1697,1925,3153,40,5436,"0,000%","138,64349","23,94","62,72"
TOTAL,58507,1396,1430,1697,1925,3153,40,5436,"0,000%","138,64349","23,94","62,72"
