Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,69267,81,63,117,197,789,0,1576,"25,117%","163,78468","26,04","74,09"
TOTAL,69267,81,63,117,197,789,0,1576,"25,117%","163,78468","26,04","74,09"
