Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,28999,571,61,1310,1422,1632,16,1712,"0,003%","82,75002","6,04","37,43"
TOTAL,28999,571,61,1310,1422,1632,16,1712,"0,003%","82,75002","6,04","37,43"
