Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,32654,1459,1214,3317,3772,5389,7,7729,"24,579%","108,22868","12,09","48,94"
TOTAL,32654,1459,1214,3317,3772,5389,7,7729,"24,579%","108,22868","12,09","48,94"
