Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,28424,184,32,89,207,6081,0,19432,"11,283%","81,05210","7,31","36,66"
TOTAL,28424,184,32,89,207,6081,0,19432,"11,283%","81,05210","7,31","36,66"
