Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,68626,78,36,83,166,765,0,9493,"21,125%","162,41572","17,16","73,47"
TOTAL,68626,78,36,83,166,765,0,9493,"21,125%","172,41572","17,16","73,47"
