Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,32658,1577,1249,3837,4462,5794,5,11626,"13,984%","108,05070","10,31","48,86"
TOTAL,32658,1577,1249,3837,4462,5794,5,11626,"13,984%","108,05070","10,31","48,86"
