Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,29019,583,109,1364,1527,1696,25,3144,"0,003%","82,76269","14,28","37,44"
TOTAL,29019,583,109,1364,1527,1696,25,3144,"0,003%","82,76269","14,28","37,44"
