Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,32512,1164,267,2030,8626,10654,7,12721,"0,658%","107,77768","8,83","48,59"
TOTAL,32512,1164,267,2030,8626,10654,7,12721,"0,658%","107,77768","8,83","48,59"
