Elapsed time;POST: createOrder
09:35:36,500;2058.0
09:35:37,0;453.0
09:35:37,500;981.0
09:35:38,0;1015.4
09:35:38,500;821.2352941176471
09:35:39,0;248.8181818181818
09:35:39,500;53.714285714285715
09:35:40,0;66.14285714285714
09:35:40,500;45.4
09:35:41,0;46.77777777777778
09:35:41,500;47.64705882352941
09:35:42,0;58.52604166666667
09:35:42,500;407.5
09:35:43,0;134.22857142857143
09:35:43,500;80.26086956521739
09:35:44,0;68.0
09:35:44,500;51.56521739130435
09:35:45,0;62.111111111111114
09:35:45,500;46.629629629629626
09:35:46,0;53.24
09:35:46,500;46.63333333333333
09:35:47,0;48.34375
09:35:47,500;39.774193548387096
09:35:48,0;76.12903225806451
09:35:48,500;49.054054054054056
09:35:49,0;71.2275960170697
09:35:49,500;50.078947368421055
09:35:50,0;58.648648648648646
09:35:50,500;98.8108108108108
09:35:51,0;105.5
09:35:51,500;83.97777777777777
09:35:52,0;79.675
09:35:52,500;57.49999999999998
09:35:53,0;43.125
09:35:53,500;41.09090909090909
09:35:54,0;83.48837209302326
09:35:54,500;65.20833333333333
09:35:55,0;56.26923076923077
09:35:55,500;75.5957446808511
09:35:56,0;125.775
09:35:56,500;170.8909090909091
09:35:57,0;126.12068965517241
09:35:57,500;95.48387096774194
09:35:58,0;244.48387096774192
09:35:58,500;317.709090909091
09:35:59,0;439.0416666666667
09:35:59,500;526.2763157894738
09:36:00,0;576.8181818181819
09:36:00,500;794.4716981132076
09:36:01,0;766.0151828847484
09:36:01,500;778.9999999999999
09:36:02,0;894.2962962962963
09:36:02,500;1160.1428571428573
09:36:03,0;1317.0000000000002
09:36:03,500;1424.1363636363637
09:36:04,0;1552.5151515151515
09:36:04,500;1804.8076923076924
09:36:05,0;1801.013888888889
09:36:05,500;1850.0294117647059
09:36:06,0;1905.08
09:36:06,500;1922.5458333333336
09:36:07,0;1741.8553191489361
09:36:07,500;1528.4827586206898
09:36:08,0;1302.6627906976746
09:36:08,500;1318.8421052631575
09:36:09,0;1296.909090909091
09:36:09,500;1444.3676470588234
09:36:10,0;1526.9565217391305
09:36:10,500;1748.954365079365
09:36:11,0;1864.9655172413793
09:36:11,500;1968.888888888889
09:36:12,0;2174.4561403508756
09:36:12,500;2293.4521008403367
