Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,29966,1703,1468,4002,5018,5603,7,8335,"20,470%","99,19626","18,78","44,85"
TOTAL,29966,1703,1468,4002,5018,5603,7,8335,"20,470%","99,19626","18,78","44,85"
