Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,69763,101,105,166,184,244,0,2365,"11,485%","165,28227","27,51","74,77"
TOTAL,69763,101,105,166,184,244,0,2365,"11,485%","165,28227","27,51","74,77"
