Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
POST: createOrder,28303,1916,1475,4516,5716,6955,7,16204,"28,251%","93,68504","18,41","42,34"
TOTAL,28303,1916,1475,4516,5716,6955,7,16204,"28,251%","93,68504","18,41","42,34"
